T,K,iv,bs_price
0.25,3500,0.170412,0.000955404
0.25,3554.59,0.170412,0.00219896
0.25,3610.03,0.170412,0.00491016
0.25,3666.33,0.170412,0.010639
0.25,3723.51,0.170412,0.0223725
0.25,3781.58,0.170412,0.0456698
0.25,3840.56,0.170412,0.0905194
0.25,3900.46,0.170412,0.174246
0.25,3961.29,0.170412,0.325842
0.25,4023.08,0.170412,0.592118
0.25,4085.82,0.170412,1.04594
0.25,4149.55,0.170412,1.79661
0.25,4214.26,0.170412,3.00211
0.25,4279.99,0.170412,4.88211
0.25,4346.74,0.170412,7.73039
0.25,4414.54,0.170412,11.9243
0.25,4483.39,0.170412,17.9286
0.25,4553.31,0.170412,26.2911
0.25,4624.33,0.170412,37.6282
0.25,4696.45,0.170412,52.5985
0.25,4769.7,0.170412,71.8676
0.25,4844.09,0.170412,96.0641
0.25,4919.64,0.166018,121.512
0.25,4996.36,0.148193,139.265
0.25,5074.29,0.110753,82.8159
0.25,5153.43,0.151611,92.9195
0.25,5233.8,0.215,125.81
0.25,5315.43,0.215,101.527
0.25,5398.33,0.215,80.8174
0.25,5482.53,0.215,63.4312
0.25,5568.04,0.215,49.0679
0.25,5654.88,0.215,37.3957
0.25,5743.07,0.215,28.0684
0.25,5832.64,0.215,20.7415
0.25,5923.61,0.215,15.0852
0.25,6016,0.215,10.795
0.25,6109.83,0.215,7.59865
0.25,6205.12,0.215,5.25993
0.25,6301.89,0.215,3.57973
0.25,6400.18,0.215,2.3947
0.25,6500,0.215,1.57432
0.5,3500,0.225276,2.63265
0.5,3554.59,0.225276,3.50412
0.5,3610.03,0.225276,4.62754
0.5,3666.33,0.225276,6.06368
0.5,3723.51,0.225276,7.88436
0.5,3781.58,0.225276,10.1736
0.5,3840.56,0.225276,13.0283
0.5,3900.46,0.225276,16.5595
0.5,3961.29,0.225276,20.8923
0.5,4023.08,0.225276,26.1665
0.5,4085.82,0.225276,32.5359
0.5,4149.55,0.225276,40.168
0.5,4214.26,0.225276,49.2427
0.5,4279.99,0.225276,59.9508
0.5,4346.74,0.225276,72.4914
0.5,4414.54,0.225276,87.0697
0.5,4483.39,0.225276,103.894
0.5,4553.31,0.225276,123.17
0.5,4624.33,0.225276,145.103
0.5,4696.45,0.225276,169.886
0.5,4769.7,0.225276,197.703
0.5,4844.09,0.219704,221.27
0.5,4919.64,0.2115,244.19
0.5,4996.36,0.196073,260.199
0.5,5074.29,0.0602189,62.7681
0.5,5153.43,0.0370553,11.8018
0.5,5233.8,0.0387035,4.19246
0.5,5315.43,0.0387035,1.03123
0.5,5398.33,0.0387035,0.194934
0.5,5482.53,0.0387035,0.027987
0.5,5568.04,0.0387035,0.00302489
0.5,5654.88,0.0387035,0.000244471
0.5,5743.07,0.0387035,1.46987e-05
0.5,5832.64,0.0387035,6.5483e-07
0.5,5923.61,0.0387035,2.15488e-08
0.5,6016,0.0387035,5.22494e-10
0.5,6109.83,0.0387035,9.31617e-12
0.5,6205.12,0.0387035,1.21951e-13
0.5,6301.89,0.0387035,1.17043e-15
0.5,6400.18,0.0387035,8.22683e-18
0.5,6500,0.0387035,4.23105e-20
