T,K,iv,bs_price
0.25,3500,0.0512885,5.40541e-44
0.25,3554.59,0.0512885,2.32081e-40
0.25,3610.03,0.0512885,6.94964e-37
0.25,3666.33,0.0512885,1.45194e-33
0.25,3723.51,0.0512885,2.11728e-30
0.25,3781.58,0.0512885,2.15599e-27
0.25,3840.56,0.0512885,1.53389e-24
0.25,3900.46,0.0512885,7.62934e-22
0.25,3961.29,0.0512885,2.65487e-19
0.25,4023.08,0.0512885,6.46904e-17
0.25,4085.82,0.0512885,1.1049e-14
0.25,4149.55,0.0512885,1.32441e-12
0.25,4214.26,0.0512885,1.11582e-10
0.25,4279.99,0.0512885,6.6197e-09
0.25,4346.74,0.0512885,2.77166e-07
0.25,4414.54,0.0512885,8.21391e-06
0.25,4483.39,0.0512885,0.000172924
0.25,4553.31,0.0512885,0.00259845
0.25,4624.33,0.0512885,0.028043
0.25,4696.45,0.0512885,0.219166
0.25,4769.7,0.0512885,1.25427
0.25,4844.09,0.0512885,5.33599
0.25,4919.64,0.0603172,24.3194
0.25,4996.36,0.0932621,84.8117
0.25,5074.29,0.108457,80.5755
0.25,5153.43,0.112858,57.2018
0.25,5233.8,0.112858,36.7087
0.25,5315.43,0.112858,22.3643
0.25,5398.33,0.112858,12.9006
0.25,5482.53,0.112858,7.02928
0.25,5568.04,0.112858,3.61046
0.25,5654.88,0.112858,1.74493
0.25,5743.07,0.112858,0.792264
0.25,5832.64,0.112858,0.337476
0.25,5923.61,0.112858,0.134703
0.25,6016,0.112858,0.0503293
0.25,6109.83,0.112858,0.0175863
0.25,6205.12,0.112858,0.00574244
0.25,6301.89,0.112858,0.00175098
0.25,6400.18,0.112858,0.000498266
0.25,6500,0.112858,0.000132253
0.5,3500,0.0584318,1.97567e-17
0.5,3554.59,0.0584318,5.3594e-16
0.5,3610.03,0.0584318,1.26804e-14
0.5,3666.33,0.0584318,2.61756e-13
0.5,3723.51,0.0584318,4.71579e-12
0.5,3781.58,0.0584318,7.41776e-11
0.5,3840.56,0.0584318,1.01916e-09
0.5,3900.46,0.0584318,1.22371e-08
0.5,3961.29,0.0584318,1.28479e-07
0.5,4023.08,0.0584318,1.18028e-06
0.5,4085.82,0.0584318,9.49461e-06
0.5,4149.55,0.0584318,6.69408e-05
0.5,4214.26,0.0584318,0.000414078
0.5,4279.99,0.0584318,0.00225001
0.5,4346.74,0.0584318,0.0107555
0.5,4414.54,0.0584318,0.0453087
0.5,4483.39,0.0584318,0.168553
0.5,4553.31,0.0584318,0.555114
0.5,4624.33,0.0584318,1.62342
0.5,4696.45,0.0584318,4.23122
0.5,4769.7,0.0584318,9.87176
0.5,4844.09,0.0584318,20.7258
0.5,4919.64,0.0632479,45.3249
0.5,4996.36,0.0812512,100.048
0.5,5074.29,0.0919379,106.724
0.5,5153.43,0.115661,108.556
0.5,5233.8,0.16175,142.756
0.5,5315.43,0.2,167.243
0.5,5398.33,0.2,142.567
0.5,5482.53,0.2,120.584
0.5,5568.04,0.2,101.175
0.5,5654.88,0.2,84.1968
0.5,5743.07,0.2,69.4823
0.5,5832.64,0.2,56.8507
0.5,5923.61,0.2,46.1117
0.5,6016,0.2,37.0708
0.5,6109.83,0.2,29.5349
0.5,6205.12,0.2,23.3164
0.5,6301.89,0.2,18.2369
0.5,6400.18,0.2,14.1302
0.5,6500,0.2,10.8444
